model,ELO,,,,win_rate
142,1679.191224,,,,0.680525164
141,1678.457069,,,,0.681357426
108,1668.185848,,,,0.663846839
95,1659.182652,,,,0.655466162
150,1655.363995,,,,0.675201517
105,1649.066181,,,,0.666351159
127,1648.151339,,,,0.673765731
147,1646.060933,,,,0.679514942
106,1643.477763,,,,0.658314351
100,1629.373713,,,,0.653966831
156,1616.989724,,,,0.656331878
96,1616.197553,,,,0.648487626
115,1595.414328,,,,0.653061224
109,1594.291904,,,,0.669479606
87,1590.007424,,,,0.591697856
82,1561.246995,,,,0.577337355
114,1471.623313,,,,0.508261934
54,1468.96029,,,,0.461684611
52,1462.846673,,,,0.47628524
28,1448.450463,,,,0.494112106
38,1430.679052,,,,0.406824147
44,1418.221499,,,,0.441146366
55,1412.725577,,,,0.524029575
42,1410.952221,,,,0.479946524
33,1386.821455,,,,0.35104
47,1383.442067,,,,0.418341709
27,1333.465117,,,,0.312615955
23,1287.903469,,,,0.282460137
3,1196.328139,,,,0.181166199
6,1158.363281,,,,0.153846154
0,1095.923567,,,,0.206470374